question_id;question_text;answerA_text;answerA_action;answerA_flag;answerB_text;answerB_action;answerB_flag
183;You're tired and need a cup of coffee.;I get a coffee from the vending machine for 2 USD.;-2;;I order a Frappuccino in Starbucks for 5 USD.;-5;
184;Dzwoni do Ciebie nieznany numer, prawdopodobnie dzwonią do Ciebie z banku. Czy ostatnia rata za twój kredit hipoteczny został zapłacony? Przypomnij sobie, jeśli nie odmówiłeś zapłaty lub Ci nie zabrakły pieniądze. Teraz bedziesz symulować rozmowę telefoniczną za pomocą tekstowego dialogu. Jak będziesz odpowiadał, należy wyłącznie do Ciebie, ale prosimy o pisanie z znakami diakrytycznymi. Pamiętaj, że grasz za swój profil, wchodź w jego sytuację.;Możemy zacząć, rozmowy z bankiem nie wstrząsają mną.;0;;Możemy zacząć, chociaż takie rozmowy mnie potrafi lekko zdenerwować.;0;
185;Dzwoni do Ciebie nieznany numer, prawdopodobnie dzwonią do Ciebie z banku. Czy jest zapłacone saldo na karcie kredytowej? Przypomnij sobie, jeśli nie odmówiłeś zapłaty lub Ci nie zabrakły pieniądze. Teraz bedziesz symulować rozmowę telefoniczną za pomocą tekstowego dialogu. Jak będziesz odpowiadał, należy wyłącznie do Ciebie, ale prosimy o pisanie z znakami diakrytycznymi. Pamiętaj, że grasz za swój profil, wchodź w jego sytuację.;Możemy zacząć, rozmowy z bankiem nie wstrząsają mną.;0;;Możemy zacząć, chociaż takie rozmowy mnie potrafi lekko zdenerwować.;0;
186;Dzwoni do Ciebie nieznany numer, prawdopodobnie dzwonią do Ciebie z powodu abonamentu komórkowego. Czy ostatnia faktura została zapłacona? Przypomnij sobie, jeśli nie odmówiłeś zapłaty lub Ci nie zabrakły pieniędze. Teraz bedziesz symulować rozmowę telefoniczną za pomocą tekstowego dialogu. Jak będziesz odpowiadał, należy wyłącznie do Ciebie, ale prosimy o pisanie z znakami diakrytycznymi. Pamiętaj, że grasz za swój profil, wchodź w jego sytuację.;Możemy zacząć, rozmowy z bankiem nie wstrząsają mną.;0;;Możemy zacząć, chociaż takie rozmowy mnie potrafi lekko zdenerwować.;0;
187;Volá ti neznámé číslo, pravděpodobně ti volají z banky. Je zaplacená poslední splátka za hypotéku? Vzpoměň si, jestli jsi neodmítl(a) zaplatit, případně zda nedošly peníze. Nyní proběhne simulace telefonního hovoru pomocí textového dialogu. Je zcela na tobě, jak budeš odpovídat, ale piš prosím s diakritikou, a pokud možno spisovně. Pamatuj, že hraješ za svůj profil, vžij se do jeho situace.;Můžeme začít, hovory s bankou mě nestresují.;0;;Můžeme začít, ačkoliv mě takové hovory dokáží lehce vyvést z míry.;0;
188;Volá ti neznámé číslo, pravděpodobně ti volají z banky. Je zaplaceno vše na kreditní kartě? Vzpoměň si, jestli jsi neodmítl(a) zaplatit, případně zda nedošly peníze. Nyní proběhne simulace telefonního hovoru pomocí textového dialogu. Je zcela na tobě, jak budeš odpovídat, ale piš prosím s diakritikou, a pokud možno spisovně. Pamatuj, že hraješ za svůj profil, vžij se do jeho situace.;Můžeme začít, hovory s bankou mě nestresují.;0;;Můžeme začít, ačkoliv mě takové hovory dokáží lehce vyvést z míry.;0;
189;Volá ti neznámé číslo, pravděpodobně ti volá operátor. Je zaplacená poslední faktura za tarif? Vzpoměň si, jestli jsi neodmítl(a) zaplatit, případně zda nedošly peníze. Nyní proběhne simulace telefonního hovoru pomocí textového dialogu. Je zcela na tobě, jak budeš odpovídat, ale piš prosím s diakritikou, a pokud možno spisovně. Pamatuj, že hraješ za svůj profil, vžij se do jeho situace.;Můžeme začít, hovory s bankou mě nestresují.;0;;Můžeme začít, ačkoliv mě takové hovory dokáží lehce vyvést z míry.;0;
190;An unknown number is calling, they probably call you from the bank. Is the last installment paid for your mortgage? Recall, if you did not refuse to pay or if you did not run out of money. Now you are going to simulate a phone call using a text dialog. It is entirely up to you how to answer, but please write in standard language. Remember that you play for your profile, come into his situation.;We can start, calls with the bank do not shake me.;;;We can start, although such calls stress me little bit;;
191;An unknown number is calling, they probably call you from the bank. Is your credit card paid off? Recall, if you did not refuse to pay or if you did not run out of money. Now you are going to simulate a phone call using a text dialog. It is entirely up to you how to answer, but please write in standard language. Remember that you play for your profile, come into his situation.;We can start, calls with the bank do not shake me.;;;We can start, although such calls stress me little bit;;
192;An unknown number is calling, telephone operator is probably call you. Is the last invoice paid? Recall, if you did not refuse to pay or if you did not run out of money. Now you are going to simulate a phone call using a text dialog. It is entirely up to you how to answer, but please write in standard language. Remember that you play for your profile, come into his situation.;We can start, calls with the bank do not shake me.;;;We can start, although such calls stress me little bit;;
